"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG","Real-Time"
"1","Jahmyr Gibbs","DET ","6","RB1","1","1","1","1.0","1"
"2","Bijan Robinson","ATL ","11","RB2","2","2","2","2.0","2"
"3","Ja'Marr Chase","CIN ","6","WR1","3","3","3","3.0","3"
"4","Puka Nacua","LAR ","11","WR2","4","4","4","4.0","4"
"5","Christian McCaffrey","SF ","8","RB3","5","5","5","5.0","5"
"6","Jaxon Smith-Njigba","SEA ","11","WR3","6","7","6","6.3","6"
"7","Jonathan Taylor","IND ","13","RB4","7","6","7","6.7","7"
"8","Amon-Ra St. Brown","DET ","6","WR4","8","8","8","8.0","8"
"9","James Cook III","BUF ","7","RB5","9","9","10","9.3","9"
"10","Ashton Jeanty","LV ","13","RB6","13","12","9","11.3","12  -2"
"11","CeeDee Lamb","DAL ","14","WR5","10","10","14","11.3","11"
"12","Saquon Barkley","PHI ","10","RB7","11","11","16","12.7","10  +2"
"13","De'Von Achane","MIA ","6","RB8","14","13","11","12.7","15  -2"
"14","Justin Jefferson","MIN ","6","WR6","12","14","12","12.7","13  +1"
"15","Chase Brown","CIN ","6","RB9","15","16","13","14.7","14  +1"
"16","Omarion Hampton","LAC ","7","RB10","18","15","15","16.0","18  -2"
"17","Kenneth Walker III","KC ","5","RB11","16","18","17","17.0","16  +1"
"18","Derrick Henry","BAL ","13","RB12","17","17","22","18.7","17  +1"
"19","Josh Allen","BUF ","7","QB1","20","21","18","19.7","24  -5"
"20","Drake London","ATL ","11","WR7","19","20","20","19.7","19  +1"
"21","A.J. Brown","NE ","11","WR8","24","19","21","21.3","21"
"22","Brock Bowers","LV ","13","TE1","21","22","23","22.0","20  +2"
"23","Trey McBride","ARI ","14","TE2","25","24","19","22.7","27  -4"
"24","Nico Collins","HOU ","8","WR9","22","23","26","23.7","22  +2"
"25","George Pickens","DAL ","14","WR10","23","26","24","24.3","23  +2"
"26","Jeremiyah Love","ARI ","14","RB13","26","25","29","26.7","28  -2"
"27","Kyren Williams","LAR ","11","RB14","28","27","31","28.7","25  +2"
"28","Chris Olave","NO ","8","WR11","31","32","25","29.3","30  -2"
"29","Malik Nabers","NYG ","8","WR12","30","30","28","29.3","26  +3"
"30","Josh Jacobs","GB ","11","RB15","29","29","30","29.3","32  -2"
"31","Javonte Williams","DAL ","14","RB16","34","33","27","31.3","31"
