"name","team",bye,"position"
"Christian McCaffrey","SF",9,"RB"
"CeeDee Lamb","DAL",7,"WR"
"Tyreek Hill","MIA",6,"WR"
"Justin Jefferson","MIN",6,"WR"
"Breece Hall","NYJ",12,"RB"
"Bijan Robinson","ATL",12,"RB"
"Amon-Ra St. Brown","DET",5,"WR"
"Ja'Marr Chase","CIN",12,"WR"
"A.J. Brown","PHI",5,"WR"
"Puka Nacua","LAR",6,"WR"
"Saquon Barkley","PHI",5,"RB"
"Jahmyr Gibbs","DET",5,"RB"
"Jonathan Taylor","IND",14,"RB"
"Garrett Wilson","NYJ",12,"WR"
"Davante Adams","LV",10,"WR"
"Marvin Harrison Jr.","ARI",11,"WR"
"Kyren Williams","LAR",6,"RB"
"Travis Etienne Jr.","JAC",12,"RB"
"De'Von Achane","MIA",6,"RB"
"Josh Allen","BUF",12,"QB"
"Drake London","ATL",12,"WR"
"Derrick Henry","BAL",14,"RB"
"Chris Olave","NO",12,"WR"
"Josh Jacobs","GB",10,"RB"
"Sam LaPorta","DET",5,"TE"
"Nico Collins","HOU",14,"WR"
"Travis Kelce","KC",6,"TE"
"Deebo Samuel Sr.","SF",9,"WR"
"Isiah Pacheco","KC",6,"RB"
"Jalen Hurts","PHI",5,"QB"
"Brandon Aiyuk","SF",9,"WR"
"Michael Pittman Jr.","IND",14,"WR"
"Mike Evans","TB",11,"WR"
"Patrick Mahomes II","KC",6,"QB"
"Stefon Diggs","HOU",14,"WR"
"Rachaad White","TB",11,"RB"
"Jaylen Waddle","MIA",6,"WR"
"Lamar Jackson","BAL",14,"QB"
"DK Metcalf","SEA",10,"WR"
"James Cook","BUF",12,"RB"
"DJ Moore","CHI",7,"WR"
"Cooper Kupp","LAR",6,"WR"
"DeVonta Smith","PHI",5,"WR"
"Kenneth Walker III","SEA",10,"RB"
"Joe Mixon","HOU",14,"RB"
"Trey McBride","ARI",11,"TE"
"Malik Nabers","NYG",11,"WR"
"C.J. Stroud","HOU",14,"QB"
"Mark Andrews","BAL",14,"TE"
"Alvin Kamara","NO",12,"RB"
"Dalton Kincaid","BUF",12,"TE"
"Anthony Richardson","IND",14,"QB"
"Zay Flowers","BAL",14,"WR"
"George Pickens","PIT",9,"WR"
"Amari Cooper","CLE",10,"WR"
"Aaron Jones","MIN",6,"RB"
"Tee Higgins","CIN",12,"WR"
"Rhamondre Stevenson","NE",14,"RB"
"D'Andre Swift","CHI",7,"RB"
"Joe Burrow","CIN",12,"QB"
"Kyle Pitts","ATL",12,"TE"
"James Conner","ARI",11,"RB"
"Keenan Allen","CHI",7,"WR"
"Tank Dell","HOU",14,"WR"
"George Kittle","SF",9,"TE"
"Najee Harris","PIT",9,"RB"
"David Montgomery","DET",5,"RB"
"Terry McLaurin","WAS",14,"WR"
"Christian Kirk","JAC",12,"WR"
"Zamir White","LV",10,"RB"
"Dak Prescott","DAL",7,"QB"
"Evan Engram","JAC",12,"TE"
"Jordan Love","GB",10,"QB"
"Chris Godwin","TB",11,"WR"
"Kyler Murray","ARI",11,"QB"
"Jayden Reed","GB",10,"WR"
"Zack Moss","CIN",12,"RB"
"Calvin Ridley","TEN",5,"WR"
"Jonathon Brooks","CAR",11,"RB"
"Raheem Mostert","MIA",6,"RB"
"Tony Pollard","TEN",5,"RB"
"Hollywood Brown","KC",6,"WR"
"Jordan Addison","MIN",6,"WR"
"Jaylen Warren","PIT",9,"RB"
"Xavier Worthy","KC",6,"WR"
"Rashee Rice","KC",6,"WR"
"Diontae Johnson","CAR",11,"WR"
"Nick Chubb","CLE",10,"RB"
"Jake Ferguson","DAL",7,"TE"
"Devin Singletary","NYG",11,"RB"
"Austin Ekeler","WAS",14,"RB"
"DeAndre Hopkins","TEN",5,"WR"
"David Njoku","CLE",10,"TE"
"Ladd McConkey","LAC",5,"WR"
"Brock Bowers","LV",10,"TE"
"Javonte Williams","DEN",14,"RB"
"Brock Purdy","SF",9,"QB"
"Christian Watson","GB",10,"WR"
"Brian Robinson Jr.","WAS",14,"RB"
"Rome Odunze","CHI",7,"WR"
"Caleb Williams","CHI",7,"QB"
"Trey Benson","ARI",11,"RB"
"Tyjae Spears","TEN",5,"RB"
"Tua Tagovailoa","MIA",6,"QB"
"Jared Goff","DET",5,"QB"
"Keon Coleman","BUF",12,"WR"
"Jayden Daniels","WAS",14,"QB"
"Jaxon Smith-Njigba","SEA",10,"WR"
"Dallas Goedert","PHI",5,"TE"
"Ezekiel Elliott","DAL",7,"RB"
"T.J. Hockenson","MIN",6,"TE"
"Blake Corum","LAR",6,"RB"
"Brian Thomas Jr.","JAC",12,"WR"
"Justin Herbert","LAC",5,"QB"
"Jameson Williams","DET",5,"WR"
"Gus Edwards","LAC",5,"RB"
"Courtland Sutton","DEN",14,"WR"
"Jerome Ford","CLE",10,"RB"
"Chase Brown","CIN",12,"RB"
"Dalton Schultz","HOU",14,"TE"
"Curtis Samuel","BUF",12,"WR"
"Trevor Lawrence","JAC",12,"QB"
"Zach Charbonnet","SEA",10,"RB"
"Pat Freiermuth","PIT",9,"TE"
"Cole Kmet","CHI",7,"TE"
"Kirk Cousins","ATL",12,"QB"
"Tyler Lockett","SEA",10,"WR"
"J.K. Dobbins","LAC",5,"RB"
"Khalil Shakir","BUF",12,"WR"
"Jakobi Meyers","LV",10,"WR"
"Jerry Jeudy","CLE",10,"WR"
"Matthew Stafford","LAR",6,"QB"
"Romeo Doubs","GB",10,"WR"
"Aaron Rodgers","NYJ",12,"QB"
"Ty Chandler","MIN",6,"RB"
"Rico Dowdle","DAL",7,"RB"
"Joshua Palmer","LAC",5,"WR"
"Mike Williams","NYJ",12,"WR"
"Chuba Hubbard","CAR",11,"RB"
"MarShawn Lloyd","GB",10,"RB"
"Kendre Miller","NO",12,"RB"
"Jaylen Wright","MIA",6,"RB"
"Rashid Shaheed","NO",12,"WR"
"Luke Musgrave","GB",10,"TE"
"Gabe Davis","JAC",12,"WR"
"Adonai Mitchell","IND",14,"WR"
"Baker Mayfield","TB",11,"QB"
"Xavier Legette","CAR",11,"WR"
"Kimani Vidal","LAC",5,"RB"
"Josh Downs","IND",14,"WR"
"Brandin Cooks","DAL",7,"WR"
"Antonio Gibson","NE",14,"RB"
