name,team,bye,position
Ja'Marr Chase,CIN,10,WR
Bijan Robinson,ATL,5,RB
Saquon Barkley,PHI,9,RB
Jahmyr Gibbs,DET,8,RB
Justin Jefferson,MIN,6,WR
CeeDee Lamb,DAL,10,WR
Malik Nabers,NYG,14,WR
Puka Nacua,LAR,8,WR
Amon-Ra St. Brown,DET,8,WR
Ashton Jeanty,LV,8,RB
Christian McCaffrey,SF,14,RB
Derrick Henry,BAL,7,RB
Nico Collins,HOU,6,WR
De'Von Achane,MIA,12,RB
Brian Thomas Jr.,JAC,8,WR
Brock Bowers,LV,8,TE
Bucky Irving,TB,9,RB
Josh Jacobs,GB,5,RB
Drake London,ATL,5,WR
A.J. Brown,PHI,9,WR
Chase Brown,CIN,10,RB
Josh Allen,BUF,7,QB
Jonathan Taylor,IND,11,RB
Lamar Jackson,BAL,7,QB
Trey McBride,ARI,8,TE
Ladd McConkey,LAC,12,WR
Kyren Williams,LAR,8,RB
Tyreek Hill,MIA,12,WR
Jayden Daniels,WAS,12,QB
Jaxon Smith-Njigba,SEA,8,WR
Breece Hall,NYJ,9,RB
Tee Higgins,CIN,10,WR
James Cook,BUF,7,RB
Omarion Hampton,LAC,12,RB
Garrett Wilson,NYJ,9,WR
Joe Burrow,CIN,10,QB
Jalen Hurts,PHI,9,QB
Alvin Kamara,NO,11,RB
George Kittle,SF,14,TE
Marvin Harrison Jr.,ARI,8,WR
Terry McLaurin,WAS,12,WR
Kenneth Walker III,SEA,8,RB
Davante Adams,LAR,8,WR
Mike Evans,TB,9,WR
Chuba Hubbard,CAR,14,RB
DJ Moore,CHI,5,WR
James Conner,ARI,8,RB
DK Metcalf,PIT,5,WR
Courtland Sutton,DEN,12,WR
Rashee Rice,KC,10,WR
TreVeyon Henderson,NE,14,RB
DeVonta Smith,PHI,9,WR
RJ Harvey,DEN,12,RB
Tetairoa McMillan,CAR,14,WR
David Montgomery,DET,8,RB
Sam LaPorta,DET,8,TE
Joe Mixon,HOU,6,RB
Patrick Mahomes II,KC,10,QB
Xavier Worthy,KC,10,WR
Isiah Pacheco,KC,10,RB
D'Andre Swift,CHI,5,RB
Jameson Williams,DET,8,WR
Zay Flowers,BAL,7,WR
Aaron Jones Sr.,MIN,6,RB
George Pickens,DAL,10,WR
Tony Pollard,TEN,10,RB
Calvin Ridley,TEN,10,WR
T.J. Hockenson,MIN,6,TE
Travis Hunter,JAC,8,WR
Kaleb Johnson,PIT,5,RB
Jerry Jeudy,CLE,9,WR
Baker Mayfield,TB,9,QB
Travis Kelce,KC,10,TE
Jaylen Waddle,MIA,12,WR
Chris Olave,NO,11,WR
Tyrone Tracy Jr.,NYG,14,RB
Bo Nix,DEN,12,QB
Jordan Addison,MIN,6,WR
Rome Odunze,CHI,5,WR
Brian Robinson Jr.,WAS,12,RB
Chris Godwin,TB,9,WR
Jaylen Warren,PIT,5,RB
Deebo Samuel Sr.,WAS,12,WR
Quinshon Judkins,CLE,9,RB
Mark Andrews,BAL,7,TE
Stefon Diggs,NE,14,WR
Cooper Kupp,SEA,8,WR
Evan Engram,DEN,12,TE
Travis Etienne Jr.,JAC,8,RB
Jakobi Meyers,LV,8,WR
Kyler Murray,ARI,8,QB
Matthew Golden,GB,5,WR
Khalil Shakir,BUF,7,WR
Ricky Pearsall,SF,14,WR
Javonte Williams,DAL,10,RB
Jauan Jennings,SF,14,WR
Jared Goff,DET,8,QB
Jordan Mason,MIN,6,RB
Zach Charbonnet,SEA,8,RB
Tyler Warren,IND,11,TE
David Njoku,CLE,9,TE
Najee Harris,LAC,12,RB
Jayden Reed,GB,5,WR
Dak Prescott,DAL,10,QB
Cam Skattebo,NYG,14,RB
Caleb Williams,CHI,5,QB
Rhamondre Stevenson,NE,14,RB
Emeka Egbuka,TB,9,WR
Josh Downs,IND,11,WR
Brock Purdy,SF,14,QB
Justin Herbert,LAC,12,QB
Colston Loveland,CHI,5,TE
Tyjae Spears,TEN,10,RB
Justin Fields,NYJ,9,QB
J.K. Dobbins,DEN,12,RB
Michael Pittman Jr.,IND,11,WR
Jonnu Smith,PIT,5,TE
Tucker Kraft,GB,5,TE
Brandon Aiyuk,SF,14,WR
Tank Bigsby,JAC,8,RB
Darnell Mooney,ATL,5,WR
Keon Coleman,BUF,7,WR
Jayden Higgins,HOU,6,WR
Rachaad White,TB,9,RB
Jake Ferguson,DAL,10,TE
Drake Maye,NE,14,QB
Jaydon Blue,DAL,10,RB
Dalton Kincaid,BUF,7,TE
C.J. Stroud,HOU,6,QB
Jordan Love,GB,5,QB
Austin Ekeler,WAS,12,RB
Jerome Ford,CLE,9,RB
J.J. McCarthy,MIN,6,QB
Marvin Mims Jr.,DEN,12,WR
Kyle Pitts Sr.,ATL,5,TE
Trey Benson,ARI,8,RB
Ray Davis,BUF,7,RB
Isaac Guerendo,SF,14,RB
Rashid Shaheed,NO,11,WR
Bhayshul Tuten,JAC,8,RB
Dallas Goedert,PHI,9,TE
Luther Burden III,CHI,5,WR
Rico Dowdle,CAR,14,RB
Trevor Lawrence,JAC,8,QB
Tre' Harris,LAC,12,WR
Christian Kirk,HOU,6,WR
Braelon Allen,NYJ,9,RB
Tyler Allgeier,ATL,5,RB
Tua Tagovailoa,MIA,12,QB
Nick Chubb,HOU,6,RB
Hunter Henry,NE,14,TE
Marquise Brown,KC,10,WR
Jack Bech,LV,8,WR
Dylan Sampson,CLE,9,RB
Keenan Allen,LAC,12,WR
Denver Broncos,DST,12,DST
Zach Ertz,WAS,12,TE
Philadelphia Eagles,DST,9,DST
Bryce Young,CAR,14,QB
Jaylen Wright,MIA,12,RB
Michael Penix Jr.,ATL,5,QB
Jalen McMillan,TB,9,WR
Cam Ward,TEN,10,QB
Matthew Stafford,LAR,8,QB
Rashod Bateman,BAL,7,WR
DeAndre Hopkins,BAL,7,WR
Brenton Strange,JAC,8,TE
Kyle Williams,NE,14,WR
Pittsburgh Steelers,DST,5,DST
Cedric Tillman,CLE,9,WR
Isaiah Likely,BAL,7,TE
Geno Smith,LV,8,QB
Adam Thielen,CAR,14,WR
Cade Otton,TB,9,TE
Sam Darnold,SEA,8,QB
Wan'Dale Robinson,NYG,14,WR
Minnesota Vikings,DST,6,DST
Xavier Legette,CAR,14,WR
Kyle Monangai,CHI,5,RB
Justice Hill,BAL,7,RB
Mason Taylor,NYJ,9,TE
DeMario Douglas,NE,14,WR
Aaron Rodgers,PIT,5,QB
Anthony Richardson Sr.,IND,11,QB
Romeo Doubs,GB,5,WR
Joshua Palmer,BUF,7,WR
Baltimore Ravens,DST,7,DST
Roschon Johnson,CHI,5,RB
Brandon Aubrey,DAL,10,K
Chig Okonkwo,TEN,10,TE
Houston Texans,DST,6,DST
Mike Gesicki,CIN,10,TE
Pat Freiermuth,PIT,5,TE
Blake Corum,LAR,8,RB
Kareem Hunt,KC,10,RB
Cameron Dicker,LAC,12,K
San Francisco 49ers,DST,14,DST
Quentin Johnston,LAC,12,WR
Russell Wilson,NYG,14,QB
Dalton Schultz,HOU,6,TE
Buffalo Bills,DST,7,DST
Alec Pierce,IND,11,WR
Jarquez Hunter,LAR,8,RB
Kansas City Chiefs,DST,10,DST
Jake Bates,DET,8,K
Detroit Lions,DST,8,DST
Brashard Smith,KC,10,RB
MarShawn Lloyd,GB,5,RB
DJ Giddens,IND,11,RB
Washington Commanders,DST,12,DST
Ka'imi Fairbairn,HOU,6,K
Will Shipley,PHI,9,RB
Woody Marks,HOU,6,RB
Pat Bryant,DEN,12,WR
Tyler Shough,NO,11,QB
Elijah Arroyo,SEA,8,TE
Miles Sanders,DAL,10,RB
Jaxson Dart,NYG,14,QB
Harrison Butker,KC,10,K
Ja'Tavion Sanders,CAR,14,TE
Daniel Jones,IND,11,QB
Shedeur Sanders,CLE,9,QB
Jacory Croskey-Merritt,WAS,12,RB
Darren Waller,MIA,12,TE
Tahj Brooks,CIN,10,RB
Jalen Royals,KC,10,WR
Keaton Mitchell,BAL,7,RB
Devin Neal,NO,11,RB
Chase McLaughlin,TB,9,K
Tampa Bay Buccaneers,DST,9,DST
Jaylin Noel,HOU,6,WR
Ollie Gordon II,MIA,12,RB
Los Angeles Rams,DST,8,DST
Tyler Bass,BUF,7,K
Juwan Johnson,NO,11,TE
New York Giants,DST,14,DST
Dont'e Thornton Jr.,LV,8,WR
Cole Kmet,CHI,5,TE
Evan McPherson,CIN,10,K
Michael Wilson,ARI,8,WR
Chris Boswell,PIT,5,K
Joe Flacco,CLE,9,QB
Terrance Ferguson,LAR,8,TE
Amari Cooper,,,WR
Green Bay Packers,DST,5,DST
Jake Elliott,PHI,9,K
Darius Slayton,NYG,14,WR
Seattle Seahawks,DST,8,DST
Jordan James,SF,14,RB
Dyami Brown,JAC,8,WR
Wil Lutz,DEN,12,K
Jason Sanders,MIA,12,K
Elijah Mitchell,KC,10,RB
Adonai Mitchell,IND,11,WR
Raheem Mostert,LV,8,RB
Zack Moss,,,RB
Isaac TeSlaa,DET,8,WR
New York Jets,DST,9,DST
Jalen Milroe,SEA,8,QB
Dontayvion Wicks,GB,5,WR
Dallas Cowboys,DST,10,DST
Los Angeles Chargers,DST,12,DST
Tyler Lockett,TEN,10,WR
Elic Ayomanor,TEN,10,WR
Kirk Cousins,ATL,5,QB
Jaleel McLaughlin,DEN,12,RB
Theo Johnson,NYG,14,TE
Tyler Loop,BAL,7,K
Trevor Etienne,CAR,14,RB
Antonio Gibson,NE,14,RB
Kendre Miller,NO,11,RB
Tyler Conklin,LAC,12,TE
Tory Horton,SEA,8,WR
Roman Wilson,PIT,5,WR
New England Patriots,DST,14,DST
Brandon McManus,GB,5,K
Harold Fannin Jr.,CLE,9,TE
Spencer Rattler,NO,11,QB
Calvin Austin III,PIT,5,WR
Tennessee Titans,DST,10,DST
A.J. Dillon,PHI,9,RB
Younghoe Koo,ATL,5,K
Sean Tucker,TB,9,RB
Ray-Ray McCloud III,ATL,5,WR
Jalen Coker,CAR,14,WR
Kayshon Boutte,NE,14,WR
Jimmy Garoppolo,LAR,8,QB
Arizona Cardinals,DST,8,DST
Noah Gray,KC,10,TE
Miami Dolphins,DST,12,DST
Jalen Tolbert,DAL,10,WR
Cam Little,JAC,8,K
Devin Singletary,NYG,14,RB
Chicago Bears,DST,5,DST
Xavier Restrepo,TEN,10,WR
Efton Chism III,NE,14,WR
Matt Gay,WAS,12,K
Diontae Johnson,CLE,9,WR
Ty Johnson,BUF,7,RB
Andrei Iosivas,CIN,10,WR
Audric Estime,DEN,12,RB
Brandin Cooks,NO,11,WR
Taysom Hill,NO,11,TE
Tyler Higbee,LAR,8,TE
Noah Fant,CIN,10,TE
Cincinnati Bengals,DST,10,DST
Troy Franklin,DEN,12,WR
Jordan Whittington,LAR,8,WR
Oronde Gadsden II,LAC,12,TE
Tutu Atwell,LAR,8,WR
Dameon Pierce,HOU,6,RB
Ben Sinnott,WAS,12,TE
Daniel Carlson,LV,8,K
Tre Tucker,LV,8,WR
Jalen Nailor,MIN,6,WR
Christian Watson,GB,5,WR
Indianapolis Colts,DST,11,DST
Devaughn Vele,DEN,12,WR
Las Vegas Raiders,DST,8,DST
Joshua Karty,LAR,8,K
Jacksonville Jaguars,DST,8,DST
Khalil Herbert,IND,11,RB
Tanner McKee,PHI,9,QB
New Orleans Saints,DST,11,DST
Marquez Valdes-Scantling,SEA,8,WR
Damien Martinez,SEA,8,RB
Will Reichard,MIN,6,K
Olamide Zaccheaus,CHI,5,WR
KeAndre Lambert-Smith,LAC,12,WR
Cleveland Browns,DST,9,DST
Curtis Samuel,BUF,7,WR
Jake Moody,SF,14,K
Kenneth Gainwell,PIT,5,RB
Noah Brown,WAS,12,WR
Malik Washington,MIA,12,WR
Samaje Perine,CIN,10,RB
Emanuel Wilson,GB,5,RB
Jermaine Burton,CIN,10,WR
Isaiah Davis,NYJ,9,RB
Kimani Vidal,LAC,12,RB
Tai Felton,MIN,6,WR
Elijah Moore,BUF,7,WR
Phil Mafah,DAL,10,RB
,,,
,,,
